Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
31,Entry long,2009-08-24 09:15,PYR1-2L,7515,2,15030,-9478.07,-1.80,2886.98,0.55,-9993.02,-1.90,42987.58,0.86
32,Exit long,2009-09-01 13:00,EXIT - Basso Stop,7390,17,128724,-112741.19,-2.50,8457.33,0.19,-132557.67,-2.94,-69753.62,-1.40
32,Entry long,2009-09-01 10:30,ENTRY-17L,7572,17,128724,-112741.19,-2.50,8457.33,0.19,-132557.67,-2.94,-69753.62,-1.40
33,Exit long,2009-09-18 11:45,EXIT - Basso Stop,8333,12,92999.4,241503.58,7.42,310453.5,9.53,-28906.49,-0.89,170760.66,3.42
33,Entry long,2009-09-08 11:45,ENTRY-12L,7749.95,12,92999.4,241503.58,7.42,310453.5,9.53,-28906.49,-0.89,170760.66,3.42
34,Exit long,2009-09-18 11:45,EXIT - Basso Stop,8333,1,7960,12769.87,4.58,18515.7,6.64,-2554.3,-0.92,183669.83,3.67
34,Entry long,2009-09-11 14:15,PYR1-1L,7960,1,7960,12769.87,4.58,18515.7,6.64,-2554.3,-0.92,183669.83,3.67
35,Exit long,2009-09-18 11:45,EXIT - Basso Stop,8333,2,16028,21757.86,3.88,33249.51,5.92,-280.49,-0.05,205708.17,4.11
35,Entry long,2009-09-14 14:15,PYR2-2L,8014,2,16028,21757.86,3.88,33249.51,5.92,-280.49,-0.05,205708.17,4.11
36,Exit long,2009-09-18 11:45,EXIT - Basso Stop,8333,3,24354,21711.32,2.55,38948.81,4.57,-730.69,-0.09,227845.69,4.56
36,Entry long,2009-09-15 09:15,PYR3-3L,8118,3,24354,21711.32,2.55,38948.81,4.57,-730.69,-0.09,227845.69,4.56
37,Exit long,2009-09-18 11:45,EXIT - Basso Stop,8333,1,8190,4715.85,1.64,10461.67,3.65,-1543.32,-0.54,232704.86,4.65
37,Entry long,2009-09-15 13:00,PYR4-1L,8190,1,8190,4715.85,1.64,10461.67,3.65,-1543.32,-0.54,232704.86,4.65
38,Exit long,2009-10-21 09:15,EXIT - Basso Stop,9388.65,13,116871.3,177159.08,4.33,273639.25,6.69,-2045.25,-0.05,408748.25,8.17
38,Entry long,2009-10-12 14:15,EOD-ENTRY-13L,8990.1,13,116871.3,177159.08,4.33,273639.25,6.69,-2045.25,-0.05,408748.25,8.17
39,Exit long,2009-10-21 09:15,EXIT - Basso Stop,9388.65,6,54468,63297.5,3.32,107826.81,5.65,-6203.19,-0.33,472998.94,9.46
39,Entry long,2009-10-14 09:15,PYR1-6L,9078,6,54468,63297.5,3.32,107826.81,5.65,-6203.19,-0.33,472998.94,9.46
40,Exit long,2009-10-21 09:15,EXIT - Basso Stop,9388.65,1,9286,3265.94,1.00,10687.5,3.29,-1700.75,-0.52,476427.38,9.53
40,Entry long,2009-10-15 14:15,PYR2-1L,9286,1,9286,3265.94,1.00,10687.5,3.29,-1700.75,-0.52,476427.38,9.53
41,Exit long,2009-11-12 10:30,EXIT - Basso Stop,9180,3,26760,26349.75,2.81,45101.7,4.81,-473.55,-0.05,500223.6,10.00
41,Entry long,2009-11-09 11:45,ENTRY-7L,8920,3,26760,26349.75,2.81,45101.7,4.81,-473.55,-0.05,500223.6,10.00
42,Exit long,2009-11-12 14:15,EXIT - Basso Stop,9125,4,35680,27436.85,2.20,60135.6,4.81,-631.4,-0.05,528284.8,10.57
42,Entry long,2009-11-09 11:45,ENTRY-7L,8920,4,35680,27436.85,2.20,60135.6,4.81,-631.4,-0.05,528284.8,10.57
43,Exit long,2009-11-12 14:15,EXIT - Basso Stop,9125,3,27075,9547.13,1.01,34071.19,3.59,-2468.81,-0.26,538305.75,10.77
43,Entry long,2009-11-09 13:00,PYR1-3L,9025,3,27075,9547.13,1.01,34071.19,3.59,-2468.81,-0.26,538305.75,10.77
44,Exit long,2009-11-12 14:15,EXIT - Basso Stop,9125,3,27404.7,-1998.14,-0.21,22525.92,2.35,-13462.83,-1.40,536787.2,10.74
44,Entry long,2009-11-09 14:15,PYR2-3L,9134.9,3,27404.7,-1998.14,-0.21,22525.92,2.35,-13462.83,-1.40,536787.2,10.74
45,Exit long,2009-11-12 14:15,EXIT - Basso Stop,9125,3,27708,-12618.95,-1.30,11905.11,1.23,-24083.64,-2.48,524653.1,10.49
45,Entry long,2009-11-11 11:45,PYR3-3L,9236,3,27708,-12618.95,-1.30,11905.11,1.23,-24083.64,-2.48,524653.1,10.49
46,Exit long,2009-11-12 14:15,EXIT - Basso Stop,9125,3,28050,-24594.94,-2.50,0,0.00,-36059.62,-3.67,500549.1,10.01
46,Entry long,2009-11-11 14:15,PYR4-3L,9350,3,28050,-24594.94,-2.50,0,0.00,-36059.62,-3.67,500549.1,10.01
47,Exit long,2009-12-03 14:15,EXIT - Basso Stop,9305,6,56040,-9307.72,-0.47,20859.3,1.06,-12425.7,-0.63,489271.03,9.79
47,Entry long,2009-12-02 09:15,ENTRY-12L,9340,6,56040,-9307.72,-0.47,20859.3,1.06,-12425.7,-0.63,489271.03,9.79
48,Exit long,2009-12-04 13:00,EXIT - Basso Stop,9227.5,6,56040,-25574.59,-1.30,20859.3,1.06,-33320.7,-1.70,464677.16,9.29
48,Entry long,2009-12-02 09:15,ENTRY-12L,9340,6,56040,-25574.59,-1.30,20859.3,1.06,-33320.7,-1.70,464677.16,9.29
49,Exit long,2009-12-04 13:00,EXIT - Basso Stop,9227.5,6,56550,-43433.51,-2.19,3000.38,0.15,-51179.62,-2.58,422233.25,8.44
49,Entry long,2009-12-03 11:45,PYR1-6L,9425,6,56550,-43433.51,-2.19,3000.38,0.15,-51179.62,-2.58,422233.25,8.44
50,Exit long,2010-01-08 13:00,EXIT - Basso Stop,9153.1,17,151580.5,135401.3,2.55,195184.84,3.68,-23150.41,-0.44,557163.75,11.14
50,Entry long,2009-12-23 13:00,ENTRY-17L,8916.5,17,151580.5,135401.3,2.55,195184.84,3.68,-23150.41,-0.44,557163.75,11.14
51,Exit long,2010-01-08 13:00,EXIT - Basso Stop,9153.1,3,26904,18484.14,1.96,29034.18,3.08,-8398.32,-0.89,576118.7,11.52
51,Entry long,2009-12-24 10:30,PYR1-3L,8968,3,26904,18484.14,1.96,29034.18,3.08,-8398.32,-0.89,576118.7,11.52
52,Exit long,2010-02-26 14:15,EXIT - Basso Stop,8734,8,70776,-34101.34,-1.38,777.42,0.03,-37358.58,-1.51,542017.4,10.84
52,Entry long,2010-02-26 11:45,ENTRY-8L,8847,8,70776,-34101.34,-1.38,777.42,0.03,-37358.58,-1.51,542017.4,10.84
53,Exit long,2010-03-05 11:45,EXIT - Basso Stop,8980,4,36044.2,-5606.37,-0.44,9722.23,0.77,-6937.77,-0.55,533884.2,10.68
53,Entry long,2010-03-03 09:15,ENTRY-16L,9011.05,4,36044.2,-5606.37,-0.44,9722.23,0.77,-6937.77,-0.55,533884.2,10.68
54,Exit long,2010-03-15 09:15,EXIT - Basso Stop,9097,12,108132.6,32296.31,0.85,89226.68,2.36,-20813.32,-0.55,567434.44,11.35
54,Entry long,2010-03-03 09:15,ENTRY-16L,9011.05,12,108132.6,32296.31,0.85,89226.68,2.36,-20813.32,-0.55,567434.44,11.35
55,Exit long,2010-03-15 09:15,EXIT - Basso Stop,9097,4,36256,3348.73,0.26,22325.52,1.76,-14354.48,-1.13,571417.6,11.43
55,Entry long,2010-03-05 09:15,PYR1-4L,9064,4,36256,3348.73,0.26,22325.52,1.76,-14354.48,-1.13,571417.6,11.43
56,Exit long,2010-03-15 09:15,EXIT - Basso Stop,9097,4,36480,-4495.19,-0.35,14481.6,1.13,-9164.4,-0.72,567560.8,11.35
56,Entry long,2010-03-08 10:30,PYR2-4L,9120,4,36480,-4495.19,-0.35,14481.6,1.13,-9164.4,-0.72,567560.8,11.35
57,Exit long,2010-03-31 09:15,EXIT - Basso Stop,9469.05,18,167760,87982.95,1.50,172708.2,2.94,-2935.8,-0.05,655048.7,13.10
57,Entry long,2010-03-25 14:15,EOD-ENTRY-18L,9320,18,167760,87982.95,1.50,172708.2,2.94,-2935.8,-0.05,655048.7,13.10
58,Exit long,2010-03-31 09:15,EXIT - Basso Stop,9469.05,2,18770,5223.61,0.79,14637.53,2.23,-1588.47,-0.24,660600.75,13.21
58,Entry long,2010-03-26 10:30,PYR1-2L,9385,2,18770,5223.61,0.79,14637.53,2.23,-1588.47,-0.24,660600.75,13.21
59,Exit long,2010-03-31 09:15,EXIT - Basso Stop,9469.05,1,9520.5,-2133.07,-0.64,2573.89,0.77,-2389.11,-0.72,658634.3,13.17
59,Entry long,2010-03-29 09:15,PYR2-1L,9520.5,1,9520.5,-2133.07,-0.64,2573.89,0.77,-2389.11,-0.72,658634.3,13.17
60,Exit long,2010-04-07 13:00,EXIT - Basso Stop,9673,20,192082,41483.02,0.62,124668.56,1.85,-12881.43,-0.19,699947.6,14.00
60,Entry long,2010-04-05 09:15,ENTRY-20L,9604.1,20,192082,41483.02,0.62,124668.56,1.85,-12881.43,-0.19,699947.6,14.00
61,Exit long,2010-04-07 13:00,EXIT - Basso Stop,9673,1,9698,-1213.99,-0.36,2945.29,0.87,-1391.21,-0.41,698903.3,13.98
61,Entry long,2010-04-05 14:15,PYR1-1L,9698,1,9698,-1213.99,-0.36,2945.29,0.87,-1391.21,-0.41,698903.3,13.98
62,Exit long,2010-04-22 14:15,EXIT - Basso Stop,9586,17,165308,-87854.73,-1.52,2462.11,0.04,-105738.64,-1.83,611048.6,12.22
62,Entry long,2010-04-22 13:00,ENTRY-17L,9724,17,165308,-87854.73,-1.52,2462.11,0.04,-105738.64,-1.83,611048.6,12.22
63,Exit long,2010-04-27 14:15,EXIT - Basso Stop,9760,3,29325,-2600.59,-0.25,10196.81,0.99,-3138.19,-0.31,605536.9,12.11
63,Entry long,2010-04-23 13:00,ENTRY-17L,9775,3,29325,-2600.59,-0.25,10196.81,0.99,-3138.19,-0.31,605536.9,12.11
64,Exit long,2010-04-28 09:15,EXIT - Basso Stop,9692.9,14,136850,-44998.64,-0.94,47585.13,0.99,-60214.87,-1.26,562933.06,11.26
64,Entry long,2010-04-23 13:00,ENTRY-17L,9775,14,136850,-44998.64,-0.94,47585.13,0.99,-60214.87,-1.26,562933.06,11.26
65,Exit long,2010-04-28 09:15,EXIT - Basso Stop,9692.9,3,29503.2,-15882.68,-1.54,3636.44,0.35,-19143.31,-1.85,547566.7,10.95
65,Entry long,2010-04-26 09:15,PYR1-3L,9834.4,3,29503.2,-15882.68,-1.54,3636.44,0.35,-19143.31,-1.85,547566.7,10.95
66,Exit long,2010-05-14 11:45,EXIT - Basso Stop,9707,20,196000,-71927.45,-1.05,23835,0.35,-93030,-1.36,475639.25,9.51
66,Entry long,2010-05-13 09:15,ENTRY-20L,9800,20,196000,-71927.45,-1.05,23835,0.35,-93030,-1.36,475639.25,9.51
67,Exit long,2010-06-07 09:15,EXIT - Basso Stop,9123.55,20,186880,-160778.64,-2.46,28859.6,0.44,-158320.4,-2.42,314860.62,6.30
67,Entry long,2010-06-04 11:45,ENTRY-20L,9344,20,186880,-160778.64,-2.46,28859.6,0.44,-158320.4,-2.42,314860.62,6.30
68,Exit long,2010-06-15 09:15,EXIT - Basso Stop,9450,1,9380,2120.48,0.65,5068.35,1.54,-1940.4,-0.59,313859.75,6.28
68,Entry long,2010-06-11 09:15,ENTRY-19L,9380,1,9380,2120.48,0.65,5068.35,1.54,-1940.4,-0.59,313859.75,6.28
69,Exit long,2010-06-23 09:15,EXIT - Basso Stop,9660.7,18,168840,170843.17,2.89,248856.3,4.21,-34927.2,-0.59,487490,9.75
69,Entry long,2010-06-11 09:15,ENTRY-19L,9380,18,168840,170843.17,2.89,248856.3,4.21,-34927.2,-0.59,487490,9.75
70,Exit long,2010-06-23 09:15,EXIT - Basso Stop,9660.7,1,9522,4518.8,1.36,8852.87,2.66,-4431.38,-1.33,492175.44,9.84
70,Entry long,2010-06-14 14:15,PYR1-1L,9522,1,9522,4518.8,1.36,8852.87,2.66,-4431.38,-1.33,492175.44,9.84
71,Exit long,2010-06-23 09:15,EXIT - Basso Stop,9660.7,1,9580,2487.79,0.74,6821.85,2.03,-2722.65,-0.81,494830.88,9.90
71,Entry long,2010-06-17 14:15,PYR2-1L,9580,1,9580,2487.79,0.74,6821.85,2.03,-2722.65,-0.81,494830.88,9.90
72,Exit long,2010-07-07 09:15,EXIT - Basso Stop,9483.55,20,190970,-52126.22,-0.78,20108.03,0.30,-58221.98,-0.87,442704.66,8.85
72,Entry long,2010-07-06 13:00,ENTRY-20L,9548.5,20,190970,-52126.22,-0.78,20108.03,0.30,-58221.98,-0.87,442704.66,8.85
73,Exit long,2010-07-15 11:45,EXIT - Basso Stop,9881.4,20,193480,138335.61,2.04,242314.1,3.58,-11085.9,-0.16,581040.25,11.62
73,Entry long,2010-07-09 13:00,ENTRY-20L,9674,20,193480,138335.61,2.04,242314.1,3.58,-11085.9,-0.16,581040.25,11.62
74,Exit long,2010-07-20 14:15,EXIT - Basso Stop,9936.6,20,200600,-72368.31,-1.03,8634.5,0.12,-69100.5,-0.98,508671.94,10.17
74,Entry long,2010-07-19 10:30,ENTRY-20L,10030,20,200600,-72368.31,-1.03,8634.5,0.12,-69100.5,-0.98,508671.94,10.17
75,Exit long,2010-07-26 14:15,EXIT - Basso Stop,10003,20,201200,-46922.05,-0.67,20629,0.29,-58611,-0.83,461749.9,9.23
75,Entry long,2010-07-22 14:15,EOD-ENTRY-20L,10060,20,201200,-46922.05,-0.67,20629,0.29,-58611,-0.83,461749.9,9.23
76,Exit long,2010-07-30 14:15,EXIT - Basso Stop,10126,20,203640,-46307.8,-0.65,5396.3,0.08,-56063.7,-0.79,415442.1,8.31
76,Entry long,2010-07-29 14:15,EOD-ENTRY-20L,10182,20,203640,-46307.8,-0.65,5396.3,0.08,-56063.7,-0.79,415442.1,8.31
77,Exit long,2010-08-06 14:15,EXIT - Basso Stop,10381,20,205878,53733.79,0.75,139757.14,1.94,-18932.87,-0.26,469175.88,9.38
77,Entry long,2010-08-02 10:30,ENTRY-20L,10293.9,20,205878,53733.79,0.75,139757.14,1.94,-18932.87,-0.26,469175.88,9.38
78,Exit long,2010-08-25 14:15,EXIT - Basso Stop,10950,20,210697,283085.3,3.84,399582.8,5.42,-25282.2,-0.34,752070.2,15.04
78,Entry long,2010-08-12 13:00,ENTRY-20L,10534.85,20,210697,283085.3,3.84,399582.8,5.42,-25282.2,-0.34,752070.2,15.04
79,Exit long,2010-08-25 14:15,EXIT - Basso Stop,10950,1,10914,877.38,0.23,6702.26,1.75,-1324.99,-0.35,753138.56,15.06
79,Entry long,2010-08-18 14:15,PYR1-1L,10914,1,10914,877.38,0.23,6702.26,1.75,-1324.99,-0.35,753138.56,15.06
80,Exit long,2010-09-16 14:15,EXIT - Basso Stop,12030,1,11096.85,32255.53,8.30,40029.56,10.30,-902.94,-0.23,780892.3,15.62
80,Entry long,2010-09-06 09:15,ENTRY-21L,11096.85,1,11096.85,32255.53,8.30,40029.56,10.30,-902.94,-0.23,780892.3,15.62
