Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
31,Entry long,2016-03-04 10:00,ENTRY-46L,29745,46,1368270,-8165.46,-0.06,126558.65,0.92,-20181.35,-0.15,-264755.8,-5.30
32,Exit long,2016-03-08 20:00,EXIT - Basso Stop,29899,32,962272,-64635.2,-0.67,19508.64,0.20,-81291.36,-0.84,-329391.03,-6.59
32,Entry long,2016-03-08 13:00,ENTRY-32L,30071,32,962272,-64635.2,-0.67,19508.64,0.20,-81291.36,-0.84,-329391.03,-6.59
33,Exit long,2016-03-11 15:00,EXIT - Basso Stop,29675,29,864954,-52417.64,-0.61,31635.23,0.37,-48114.77,-0.56,-381808.66,-7.64
33,Entry long,2016-03-10 22:00,ENTRY-29L,29826,29,864954,-52417.64,-0.61,31635.23,0.37,-48114.77,-0.56,-381808.66,-7.64
34,Exit long,2016-03-17 23:00,EXIT - Basso Stop,29347,20,588860,-25079,-0.43,26455.7,0.45,-27144.3,-0.46,-406887.66,-8.14
34,Entry long,2016-03-17 10:00,ENTRY-20L,29443,20,588860,-25079,-0.43,26455.7,0.45,-27144.3,-0.46,-406887.66,-8.14
35,Exit long,2016-03-22 15:00,EXIT - Basso Stop,29175,32,937920,-52557.6,-0.56,0,0.00,-68689.6,-0.73,-459445.25,-9.19
35,Entry long,2016-03-22 13:00,ENTRY-32L,29310,32,937920,-52557.6,-0.56,0,0.00,-68689.6,-0.73,-459445.25,-9.19
36,Exit long,2016-04-08 10:00,EXIT - Basso Stop,28859,41,1188057,-60236.38,-0.51,15789.72,0.13,-55960.28,-0.47,-519681.66,-10.39
36,Entry long,2016-04-07 18:00,ENTRY-41L,28977,41,1188057,-60236.38,-0.51,15789.72,0.13,-55960.28,-0.47,-519681.66,-10.39
37,Exit long,2016-04-20 13:00,EXIT - Basso Stop,29115,38,1109030,-37677,-0.34,37774.85,0.34,-36705.15,-0.33,-557358.6,-11.15
37,Entry long,2016-04-19 17:00,ENTRY-38L,29185,38,1109030,-37677,-0.34,37774.85,0.34,-36705.15,-0.33,-557358.6,-11.15
38,Exit long,2016-04-21 18:00,EXIT - Basso Stop,29505,37,1095681,-50896.83,-0.46,15611.6,0.14,-53948.41,-0.49,-608255.5,-12.17
38,Entry long,2016-04-21 17:00,ENTRY-37L,29613,37,1095681,-50896.83,-0.46,15611.6,0.14,-53948.41,-0.49,-608255.5,-12.17
39,Exit long,2016-04-29 17:00,EXIT - Basso Stop,29746,58,1696790,267669.72,1.58,403316.06,2.38,-40383.95,-0.24,-340585.75,-6.81
39,Entry long,2016-04-27 10:00,ENTRY-58L,29255,58,1696790,267669.72,1.58,403316.06,2.38,-40383.95,-0.24,-340585.75,-6.81
40,Exit long,2016-05-11 21:00,EXIT - Basso Stop,29870,56,1679104,-80599.12,-0.48,40884.48,0.24,-72235.52,-0.43,-421184.88,-8.42
40,Entry long,2016-05-11 11:00,ENTRY-56L,29984,56,1679104,-80599.12,-0.48,40884.48,0.24,-72235.52,-0.43,-421184.88,-8.42
41,Exit long,2016-05-16 20:00,EXIT - Basso Stop,30016,60,1807320,-81641.4,-0.45,64763.4,0.36,-94236.6,-0.52,-502826.28,-10.06
41,Entry long,2016-05-16 10:00,ENTRY-60L,30122,60,1807320,-81641.4,-0.45,64763.4,0.36,-94236.6,-0.52,-502826.28,-10.06
42,Exit long,2016-06-07 12:00,EXIT - Basso Stop,29219,22,642532,-3566.75,-0.06,34187.34,0.53,-4532.66,-0.07,-506393.03,-10.13
42,Entry long,2016-06-03 18:00,ENTRY-22L,29206,22,642532,-3566.75,-0.06,34187.34,0.53,-4532.66,-0.07,-506393.03,-10.13
43,Exit long,2016-06-15 13:00,EXIT - Basso Stop,30210,59,1733892,467398.6,2.69,579560.56,3.34,-28139.46,-0.16,-38994.44,-0.78
43,Entry long,2016-06-08 11:00,ENTRY-59L,29388,59,1733892,467398.6,2.69,579560.56,3.34,-28139.46,-0.16,-38994.44,-0.78
44,Exit long,2016-06-21 10:00,EXIT - Basso Stop,30343,47,1432278,-75861.99,-0.53,0,0.00,-70141.39,-0.49,-114856.44,-2.30
44,Entry long,2016-06-20 23:00,ENTRY-47L,30474,47,1432278,-75861.99,-0.53,0,0.00,-70141.39,-0.49,-114856.44,-2.30
45,Exit long,2016-07-28 19:00,EXIT - Basso Stop,30925,56,1740144,-100799.72,-0.58,26579.28,0.15,-102780.72,-0.59,-215656.16,-4.31
45,Entry long,2016-07-28 10:00,ENTRY-56L,31074,56,1740144,-100799.72,-0.58,26579.28,0.15,-102780.72,-0.59,-215656.16,-4.31
46,Exit long,2016-08-03 19:00,EXIT - Basso Stop,31415,42,1318128,-167.79,0.00,114789.36,0.87,-20030.64,-0.15,-215823.95,-4.32
46,Entry long,2016-08-02 12:00,ENTRY-42L,31384,42,1318128,-167.79,0.00,114789.36,0.87,-20030.64,-0.15,-215823.95,-4.32
47,Exit long,2016-08-12 21:00,EXIT - Basso Stop,31132,45,1410210,-106755.75,-0.76,4198.95,0.03,-105151.05,-0.75,-322579.7,-6.45
47,Entry long,2016-08-12 18:00,ENTRY-45L,31338,45,1410210,-106755.75,-0.76,4198.95,0.03,-105151.05,-0.75,-322579.7,-6.45
48,Exit long,2016-09-27 10:00,EXIT - Basso Stop,31203,52,1621880,-9462.18,-0.06,87050.6,0.54,-31509.4,-0.19,-332041.88,-6.64
48,Entry long,2016-09-21 17:00,ENTRY-52L,31190,52,1621880,-9462.18,-0.06,87050.6,0.54,-31509.4,-0.19,-332041.88,-6.64
49,Exit long,2016-10-26 15:00,EXIT - Basso Stop,30022,50,1504750,-51529.25,-0.34,20476.25,0.14,-46023.75,-0.31,-383571.12,-7.67
49,Entry long,2016-10-25 23:00,ENTRY-50L,30095,50,1504750,-51529.25,-0.34,20476.25,0.14,-46023.75,-0.31,-383571.12,-7.67
50,Exit long,2016-10-28 12:00,EXIT - Basso Stop,30032,61,1837320,-72026.36,-0.39,0,0.00,-63476.6,-0.35,-455597.5,-9.11
50,Entry long,2016-10-28 10:00,ENTRY-61L,30120,61,1837320,-72026.36,-0.39,0,0.00,-63476.6,-0.35,-455597.5,-9.11
51,Exit long,2016-10-30 18:00,EXIT - Basso Stop,30063,37,1116179,-49622.55,-0.44,0,0.00,-57750.89,-0.52,-505220.03,-10.10
51,Entry long,2016-10-28 23:00,ENTRY-37L,30167,37,1116179,-49622.55,-0.44,0,0.00,-57750.89,-0.52,-505220.03,-10.10
52,Exit long,2016-11-03 12:00,EXIT - Basso Stop,30475,59,1783039,131954.69,0.74,253044.81,1.42,-27205.19,-0.15,-373265.38,-7.47
52,Entry long,2016-11-01 16:00,ENTRY-59L,30221,59,1783039,131954.69,0.74,253044.81,1.42,-27205.19,-0.15,-373265.38,-7.47
53,Exit long,2017-02-07 18:00,EXIT - Basso Stop,29216,61,1771806,85930.09,0.48,166210.97,0.94,-48509.03,-0.27,-287335.28,-5.75
53,Entry long,2017-02-06 11:00,ENTRY-61L,29046,61,1771806,85930.09,0.48,166210.97,0.94,-48509.03,-0.27,-287335.28,-5.75
54,Exit long,2017-02-17 13:00,EXIT - Basso Stop,29309,62,1811702,36415.7,0.20,125481.49,0.69,-38818.51,-0.21,-250919.56,-5.02
54,Entry long,2017-02-16 10:00,ENTRY-62L,29221,62,1811702,36415.7,0.20,125481.49,0.69,-38818.51,-0.21,-250919.56,-5.02
55,Exit long,2017-02-28 10:00,EXIT - Basso Stop,29580,63,1850247,114361.06,0.62,235188.77,1.27,-21221.23,-0.11,-136558.5,-2.73
55,Entry long,2017-02-23 18:00,ENTRY-63L,29369,63,1850247,114361.06,0.62,235188.77,1.27,-21221.23,-0.11,-136558.5,-2.73
56,Exit long,2017-04-18 10:00,EXIT - Basso Stop,29275,64,1848128,236111.36,1.28,346599.38,1.87,-12440.64,-0.07,99552.85,1.99
56,Entry long,2017-04-11 18:00,ENTRY-64L,28877,64,1848128,236111.36,1.28,346599.38,1.87,-12440.64,-0.07,99552.85,1.99
57,Exit long,2017-05-18 19:00,EXIT - Basso Stop,28711,67,1897842,238842.61,1.26,428690.78,2.26,-19539.21,-0.10,338395.47,6.77
57,Entry long,2017-05-17 15:00,ENTRY-67L,28326,67,1897842,238842.61,1.26,428690.78,2.26,-19539.21,-0.10,338395.47,6.77
58,Exit long,2017-05-30 13:00,EXIT - Basso Stop,28829,71,2054598,-97897.28,-0.48,0,0.00,-92632.99,-0.45,240498.17,4.81
58,Entry long,2017-05-30 10:00,ENTRY-71L,28938,71,2054598,-97897.28,-0.48,0,0.00,-92632.99,-0.45,240498.17,4.81
59,Exit long,2017-06-07 16:00,EXIT - Basso Stop,29350,50,1449100,169417,1.17,251254.5,1.73,-20245.5,-0.14,409915.2,8.20
59,Entry long,2017-06-02 18:00,ENTRY-50L,28982,50,1449100,169417,1.17,251254.5,1.73,-20245.5,-0.14,409915.2,8.20
60,Exit long,2017-07-27 19:00,EXIT - Basso Stop,28460,64,1828480,-88649.6,-0.48,3657.6,0.02,-82102.4,-0.45,321265.56,6.43
60,Entry long,2017-07-27 10:00,ENTRY-64L,28570,64,1828480,-88649.6,-0.48,3657.6,0.02,-82102.4,-0.45,321265.56,6.43
61,Exit long,2017-08-14 11:00,EXIT - Basso Stop,29085,64,1827968,316272.97,1.73,463180.16,2.53,-16179.84,-0.09,637538.56,12.75
61,Entry long,2017-08-09 11:00,ENTRY-64L,28562,64,1827968,316272.97,1.73,463180.16,2.53,-16179.84,-0.09,637538.56,12.75
62,Exit long,2017-08-29 21:00,EXIT - Basso Stop,29585,61,1778150,247435.83,1.39,393709.25,2.21,-14990.75,-0.08,884974.4,17.70
62,Entry long,2017-08-28 10:00,ENTRY-61L,29150,61,1778150,247435.83,1.39,393709.25,2.21,-14990.75,-0.08,884974.4,17.70
63,Exit long,2017-09-05 13:00,EXIT - Basso Stop,30065,77,2279200,335078.97,1.47,499884,2.19,-19096,-0.08,1220053.4,24.40
63,Entry long,2017-08-31 18:00,ENTRY-77L,29600,77,2279200,335078.97,1.47,499884,2.19,-19096,-0.08,1220053.4,24.40
64,Exit long,2017-09-08 19:00,EXIT - Basso Stop,30286,82,2485338,-43703.95,-0.18,119593.31,0.48,-79666.69,-0.32,1176349.4,23.53
64,Entry long,2017-09-07 20:00,ENTRY-82L,30309,82,2485338,-43703.95,-0.18,119593.31,0.48,-79666.69,-0.32,1176349.4,23.53
65,Exit long,2017-09-26 15:00,EXIT - Basso Stop,30013,46,1377516,17029.43,0.12,107652.42,0.78,-9187.58,-0.07,1193378.9,23.87
65,Entry long,2017-09-25 20:00,ENTRY-46L,29946,46,1377516,17029.43,0.12,107652.42,0.78,-9187.58,-0.07,1193378.9,23.87
66,Exit long,2017-10-17 10:00,EXIT - Basso Stop,29698,82,2448684,-158899.6,-0.65,15636.58,0.06,-146723.42,-0.60,1034479.2,20.69
66,Entry long,2017-10-16 11:00,ENTRY-82L,29862,82,2448684,-158899.6,-0.65,15636.58,0.06,-146723.42,-0.60,1034479.2,20.69
67,Exit long,2017-11-10 13:00,EXIT - Basso Stop,29559,80,2353520,88408.8,0.38,204232.4,0.87,-38167.6,-0.16,1122888,22.46
67,Entry long,2017-11-07 10:00,ENTRY-80L,29419,80,2353520,88408.8,0.38,204232.4,0.87,-38167.6,-0.16,1122888,22.46
68,Exit long,2017-11-15 20:00,EXIT - Basso Stop,29604,81,2403999,-84759.62,-0.35,37390,0.16,-80869.99,-0.34,1038128.4,20.76
68,Entry long,2017-11-15 18:00,ENTRY-81L,29679,81,2403999,-84759.62,-0.35,37390,0.16,-80869.99,-0.34,1038128.4,20.76
