Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
33,Entry long,2009-08-21 14:15,EOD-ENTRY-20L,7385,20,147700,-8905.43,-0.17,117330.5,2.27,-11469.5,-0.22,64612.61,1.29
34,Exit long,2009-08-25 10:30,EXIT - Below ST,7387.05,10,75150,-49998.22,-1.90,13119.75,0.50,-51280.25,-1.95,17244.64,0.34
34,Entry long,2009-08-24 09:15,PYR1-10L,7515,10,75150,-49998.22,-1.90,13119.75,0.50,-51280.25,-1.95,17244.64,0.34
35,Exit long,2009-09-01 13:00,EXIT - Below ST,7390,29,219588,-199916.44,-2.60,10584.42,0.14,-229970.58,-2.99,-182671.78,-3.65
35,Entry long,2009-09-01 10:30,ENTRY-29L,7572,29,219588,-199916.44,-2.60,10584.42,0.14,-229970.58,-2.99,-182671.78,-3.65
36,Exit long,2009-09-18 11:45,EXIT - Below ST,8333,21,162748.95,416720.78,7.31,540445.56,9.48,-53434.46,-0.94,229659.3,4.59
36,Entry long,2009-09-08 11:45,ENTRY-21L,7749.95,21,162748.95,416720.78,7.31,540445.56,9.48,-53434.46,-0.94,229659.3,4.59
37,Exit long,2009-09-18 11:45,EXIT - Below ST,8333,11,85745,200920.72,6.69,265728.94,8.85,-3001.07,-0.10,433581.1,8.67
37,Entry long,2009-09-09 14:15,PYR1-11L,7795,11,85745,200920.72,6.69,265728.94,8.85,-3001.07,-0.10,433581.1,8.67
38,Exit long,2009-09-18 11:45,EXIT - Below ST,8333,5,39675,66803.1,4.81,96261.38,6.93,-24121.12,-1.74,501772.8,10.04
38,Entry long,2009-09-10 09:15,PYR2-5L,7935,5,39675,66803.1,4.81,96261.38,6.93,-24121.12,-1.74,501772.8,10.04
39,Exit long,2009-11-12 14:15,EXIT - Below ST,9125,11,98120,71977.67,2.09,163655.8,4.76,-3453.45,-0.10,570896.06,11.42
39,Entry long,2009-11-09 11:45,ENTRY-11L,8920,11,98120,71977.67,2.09,163655.8,4.76,-3453.45,-0.10,570896.06,11.42
40,Exit long,2009-11-12 14:15,EXIT - Below ST,9125,6,54150,17188.5,0.91,67194.75,3.54,-5885.25,-0.31,589979.8,11.80
40,Entry long,2009-11-09 13:00,PYR1-6L,9025,6,54150,17188.5,0.91,67194.75,3.54,-5885.25,-0.31,589979.8,11.80
41,Exit long,2009-11-12 14:15,EXIT - Below ST,9125,3,27404.7,-2956.79,-0.31,22046.34,2.30,-13942.41,-1.45,587982.2,11.76
41,Entry long,2009-11-09 14:15,PYR2-3L,9134.9,3,27404.7,-2956.79,-0.31,22046.34,2.30,-13942.41,-1.45,587982.2,11.76
42,Exit long,2009-12-04 13:00,EXIT - Below ST,9227.5,19,177460,-87159.89,-1.40,62948.9,1.01,-108621.1,-1.75,497533.97,9.95
42,Entry long,2009-12-02 09:15,ENTRY-19L,9340,19,177460,-87159.89,-1.40,62948.9,1.01,-108621.1,-1.75,497533.97,9.95
43,Exit long,2009-12-04 13:00,EXIT - Below ST,9227.5,10,93953,-65247.98,-1.98,13756.65,0.42,-76543.35,-2.33,435574.34,8.71
43,Entry long,2009-12-03 10:30,PYR1-10L,9395.3,10,93953,-65247.98,-1.98,13756.65,0.42,-76543.35,-2.33,435574.34,8.71
44,Exit long,2010-01-12 09:15,EXIT - Below ST,9081.5,26,231829,133771.81,1.65,294461,3.63,-39463.52,-0.49,563054.56,11.26
44,Entry long,2009-12-23 13:00,ENTRY-26L,8916.5,26,231829,133771.81,1.65,294461,3.63,-39463.52,-0.49,563054.56,11.26
45,Exit long,2010-01-12 09:15,EXIT - Below ST,9081.5,13,116584,43429.98,1.06,123774.56,3.03,-38432.94,-0.94,610565,12.21
45,Entry long,2009-12-24 10:30,PYR1-13L,8968,13,116584,43429.98,1.06,123774.56,3.03,-38432.94,-0.94,610565,12.21
46,Exit long,2010-01-12 09:15,EXIT - Below ST,9081.5,7,63175,9406.41,0.42,52668.88,2.38,-24261.12,-1.10,622182.56,12.44
46,Entry long,2009-12-29 11:45,PYR2-7L,9025,7,63175,9406.41,0.42,52668.88,2.38,-24261.12,-1.10,622182.56,12.44
47,Exit long,2010-03-05 11:45,EXIT - Below ST,8980,13,115011,52403.72,1.30,104264.62,2.59,-62720.39,-1.56,671468.44,13.43
47,Entry long,2010-02-26 11:45,ENTRY-13L,8847,13,115011,52403.72,1.30,104264.62,2.59,-62720.39,-1.56,671468.44,13.43
48,Exit long,2010-03-05 11:45,EXIT - Below ST,8980,7,62244,17181.36,0.79,45106.46,2.07,-7262.29,-0.33,690828.4,13.82
48,Entry long,2010-03-02 10:30,PYR1-7L,8892,7,62244,17181.36,0.79,45106.46,2.07,-7262.29,-0.33,690828.4,13.82
49,Exit long,2010-03-05 11:45,EXIT - Below ST,8980,3,26835.75,1766.6,0.19,13734.5,1.46,-939.25,-0.10,693534.2,13.87
49,Entry long,2010-03-02 14:15,PYR2-3L,8945.25,3,26835.75,1766.6,0.19,13734.5,1.46,-939.25,-0.10,693534.2,13.87
50,Exit long,2010-03-15 09:15,EXIT - Below ST,9097,40,364160,-35281.4,-0.28,160854.4,1.26,-75605.6,-0.59,648617.56,12.97
50,Entry long,2010-03-08 09:15,ENTRY-40L,9104,40,364160,-35281.4,-0.28,160854.4,1.26,-75605.6,-0.59,648617.56,12.97
51,Exit long,2010-03-15 09:15,EXIT - Below ST,9097,20,183123,-54182.2,-0.84,43885.7,0.68,-74344.3,-1.16,600844.6,12.02
51,Entry long,2010-03-08 11:45,PYR1-20L,9156.15,20,183123,-54182.2,-0.84,43885.7,0.68,-74344.3,-1.16,600844.6,12.02
52,Exit long,2010-03-15 09:15,EXIT - Below ST,9097,10,92170,-48409.9,-1.50,624.05,0.02,-48375.95,-1.50,555660.7,11.11
52,Entry long,2010-03-11 14:15,PYR2-10L,9217,10,92170,-48409.9,-1.50,624.05,0.02,-48375.95,-1.50,555660.7,11.11
53,Exit long,2010-03-30 14:15,EXIT - Below ST,9490,26,242320,137582.9,1.62,245226.8,2.89,-8481.2,-0.10,686691.4,13.73
53,Entry long,2010-03-25 14:15,EOD-ENTRY-26L,9320,26,242320,137582.9,1.62,245226.8,2.89,-8481.2,-0.10,686691.4,13.73
54,Exit long,2010-03-30 14:15,EXIT - Below ST,9490,13,121511,56494.16,1.33,110316.12,2.59,-4821.63,-0.11,747438.44,14.95
54,Entry long,2010-03-26 09:15,PYR1-13L,9347,13,121511,56494.16,1.33,110316.12,2.59,-4821.63,-0.11,747438.44,14.95
55,Exit long,2010-03-30 14:15,EXIT - Below ST,9490,7,65695,21100.63,0.92,50081.68,2.18,-6709.32,-0.29,770838.4,15.42
55,Entry long,2010-03-26 10:30,PYR2-7L,9385,7,65695,21100.63,0.92,50081.68,2.18,-6709.32,-0.29,770838.4,15.42
56,Exit long,2010-04-07 11:45,EXIT - Below ST,9694,46,441788.6,113669.06,0.73,279006.4,1.80,-37358.6,-0.24,872676.5,17.45
56,Entry long,2010-04-05 09:15,ENTRY-46L,9604.1,46,441788.6,113669.06,0.73,279006.4,1.80,-37358.6,-0.24,872676.5,17.45
57,Exit long,2010-04-07 11:45,EXIT - Below ST,9694,23,221651,30323.55,0.39,112992.22,1.46,-45190.28,-0.58,910757.8,18.22
57,Entry long,2010-04-05 10:30,PYR1-23L,9637,23,221651,30323.55,0.39,112992.22,1.46,-45190.28,-0.58,910757.8,18.22
58,Exit long,2010-04-07 11:45,EXIT - Below ST,9694,12,116376,-9824.64,-0.24,33306.84,0.82,-18731.16,-0.46,905006.4,18.10
58,Entry long,2010-04-05 14:15,PYR2-12L,9698,12,116376,-9824.64,-0.24,33306.84,0.82,-18731.16,-0.46,905006.4,18.10
59,Exit long,2010-04-22 14:15,EXIT - Below ST,9586,26,252824,-143152.1,-1.62,0,0.00,-166142.34,-1.88,761854.25,15.24
59,Entry long,2010-04-22 13:00,ENTRY-26L,9724,26,252824,-143152.1,-1.62,0,0.00,-166142.34,-1.88,761854.25,15.24
60,Exit long,2010-04-28 09:15,EXIT - Below ST,9692.9,26,254150,-92426.79,-1.04,83924.75,0.94,-116275.25,-1.31,662549.75,13.25
60,Entry long,2010-04-23 13:00,ENTRY-26L,9775,26,254150,-92426.79,-1.04,83924.75,0.94,-116275.25,-1.31,662549.75,13.25
61,Exit long,2010-04-28 09:15,EXIT - Below ST,9692.9,13,127569,-63520.68,-1.42,24655.09,0.55,-75444.91,-1.69,603493.94,12.07
61,Entry long,2010-04-23 14:15,PYR1-13L,9813,13,127569,-63520.68,-1.42,24655.09,0.55,-75444.91,-1.69,603493.94,12.07
62,Exit long,2010-04-28 09:15,EXIT - Below ST,9692.9,7,68937.75,-42848.33,-1.77,3883.68,0.16,-49269.07,-2.04,563058.44,11.26
62,Entry long,2010-04-26 11:45,PYR2-7L,9848.25,7,68937.75,-42848.33,-1.77,3883.68,0.16,-49269.07,-2.04,563058.44,11.26
63,Exit long,2010-05-14 11:45,EXIT - Below ST,9707,26,254800,-102381.37,-1.15,26526.5,0.30,-125398,-1.40,460677.1,9.21
63,Entry long,2010-05-13 09:15,ENTRY-26L,9800,26,254800,-102381.37,-1.15,26526.5,0.30,-125398,-1.40,460677.1,9.21
64,Exit long,2010-06-07 09:15,EXIT - Below ST,9123.55,30,280320,-250863.42,-2.55,38383.8,0.39,-242386.2,-2.47,209813.66,4.20
64,Entry long,2010-06-04 11:45,ENTRY-30L,9344,30,280320,-250863.42,-2.55,38383.8,0.39,-242386.2,-2.47,209813.66,4.20
65,Exit long,2010-06-22 14:15,EXIT - Below ST,9669,32,300160,302345.12,2.88,437158.4,4.16,-67345.6,-0.64,504191.06,10.08
65,Entry long,2010-06-11 09:15,ENTRY-32L,9380,32,300160,302345.12,2.88,437158.4,4.16,-67345.6,-0.64,504191.06,10.08
66,Exit long,2010-06-22 14:15,EXIT - Below ST,9669,16,151472.8,102375.81,1.93,169782.45,3.20,-42765.55,-0.81,611868.44,12.24
66,Entry long,2010-06-14 09:15,PYR1-16L,9467.05,16,151472.8,102375.81,1.93,169782.45,3.20,-42765.55,-0.81,611868.44,12.24
67,Exit long,2010-06-22 14:15,EXIT - Below ST,9669,8,76176,35786.52,1.34,69489.84,2.60,-36784.16,-1.38,650321.1,13.01
67,Entry long,2010-06-14 14:15,PYR2-8L,9522,8,76176,35786.52,1.34,69489.84,2.60,-36784.16,-1.38,650321.1,13.01
68,Exit long,2010-07-07 09:15,EXIT - Below ST,9483.55,33,315100.5,-96999.27,-0.88,27663.98,0.25,-101580.52,-0.92,553321.8,11.07
68,Entry long,2010-07-06 13:00,ENTRY-33L,9548.5,33,315100.5,-96999.27,-0.88,27663.98,0.25,-101580.52,-0.92,553321.8,11.07
69,Exit long,2010-07-14 14:15,EXIT - Below ST,9919,34,328916,268234.34,2.33,406177.94,3.52,-24602.06,-0.21,812658.3,16.25
69,Entry long,2010-07-09 13:00,ENTRY-34L,9674,34,328916,268234.34,2.33,406177.94,3.52,-24602.06,-0.21,812658.3,16.25
70,Exit long,2010-07-14 14:15,EXIT - Below ST,9919,17,165971,81109.21,1.39,150081.02,2.58,-31304.73,-0.54,899576.5,17.99
