Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
45,Entry long,2009-09-15 14:15,PYR2-5L,8214.25,5,41071.25,21458.55,1.49,48062.5,3.34,-2337.5,-0.16,497871.47,9.96
46,Exit long,2009-10-05 13:15,EXIT - Basso Stop,8724.75,11,94558.75,46138.21,1.39,105663.97,3.19,-3676.03,-0.11,542633.56,10.85
46,Entry long,2009-09-30 10:15,ENTRY-11L,8596.25,11,94558.75,46138.21,1.39,105663.97,3.19,-3676.03,-0.11,542633.56,10.85
47,Exit long,2009-10-05 13:15,EXIT - Basso Stop,8724.75,5,43561.25,661.76,0.04,27718.93,1.82,-2206.07,-0.14,544057.6,10.88
47,Entry long,2009-09-30 13:15,PYR1-5L,8712.25,5,43561.25,661.76,0.04,27718.93,1.82,-2206.07,-0.14,544057.6,10.88
48,Exit long,2009-10-05 13:15,EXIT - Basso Stop,8724.75,4,35074.6,-7370.54,-0.60,14275.19,1.16,-9664.81,-0.79,537300.9,10.75
48,Entry long,2009-09-30 14:15,PYR2-4L,8768.65,4,35074.6,-7370.54,-0.60,14275.19,1.16,-9664.81,-0.79,537300.9,10.75
49,Exit long,2009-10-07 12:15,EXIT - Basso Stop,8812.75,12,106863,-42570.78,-1.14,22384.9,0.60,-50212.1,-1.34,494730.12,9.89
49,Entry long,2009-10-07 09:15,ENTRY-12L,8905.25,12,106863,-42570.78,-1.14,22384.9,0.60,-50212.1,-1.34,494730.12,9.89
50,Exit long,2009-10-20 13:15,EXIT - Basso Stop,9436.75,6,53581.5,104436.47,5.57,138869.83,7.40,-990.18,-0.05,597731.2,11.95
50,Entry long,2009-10-12 13:15,ENTRY-6L,8930.25,6,53581.5,104436.47,5.57,138869.83,7.40,-990.18,-0.05,597731.2,11.95
51,Exit long,2009-10-20 13:15,EXIT - Basso Stop,9436.75,3,27225.75,36985.62,3.88,54202.3,5.69,-2812.7,-0.30,635193.25,12.70
51,Entry long,2009-10-14 09:15,PYR1-3L,9075.25,3,27225.75,36985.62,3.88,54202.3,5.69,-2812.7,-0.30,635193.25,12.70
52,Exit long,2009-10-20 13:15,EXIT - Basso Stop,9436.75,3,27330.45,33319.29,3.48,50535.97,5.28,-2279.03,-0.24,668990.9,13.38
52,Entry long,2009-10-14 13:15,PYR2-3L,9110.15,3,27330.45,33319.29,3.48,50535.97,5.28,-2279.03,-0.24,668990.9,13.38
53,Exit long,2009-10-20 13:15,EXIT - Basso Stop,9436.75,3,27465.75,28581.42,2.97,45798.1,4.76,-3488.9,-0.36,698052.94,13.96
53,Entry long,2009-10-14 15:15,PYR3-3L,9155.25,3,27465.75,28581.42,2.97,45798.1,4.76,-3488.9,-0.36,698052.94,13.96
54,Exit long,2009-11-12 12:15,EXIT - Basso Stop,9181.75,8,69114,149405.06,6.17,198920.5,8.22,-6137.49,-0.25,845603.75,16.91
54,Entry long,2009-11-06 09:15,ENTRY-8L,8639.25,8,69114,149405.06,6.17,198920.5,8.22,-6137.49,-0.25,845603.75,16.91
55,Exit long,2009-11-12 12:15,EXIT - Basso Stop,9181.75,4,34997,59294.83,4.84,84052.56,6.86,-12372.45,-1.01,905511.06,18.11
55,Entry long,2009-11-06 10:15,PYR1-4L,8749.25,4,34997,59294.83,4.84,84052.56,6.86,-12372.45,-1.01,905511.06,18.11
56,Exit long,2009-11-12 12:15,EXIT - Basso Stop,9181.75,4,35233,51030.7,4.14,75788.42,6.14,-4396.58,-0.36,957158.3,19.14
56,Entry long,2009-11-09 09:15,PYR2-4L,8808.25,4,35233,51030.7,4.14,75788.42,6.14,-4396.58,-0.36,957158.3,19.14
57,Exit long,2009-11-12 12:15,EXIT - Basso Stop,9181.75,4,35725.2,33795.09,2.70,58552.81,4.68,-1325.19,-0.11,991578.56,19.83
57,Entry long,2009-11-09 12:15,PYR3-4L,8931.3,4,35725.2,33795.09,2.70,58552.81,4.68,-1325.19,-0.11,991578.56,19.83
58,Exit long,2009-12-03 14:15,EXIT - Basso Stop,9337.25,1,9224.25,3630.17,1.12,7529.83,2.33,-308.42,-0.10,991791.56,19.84
58,Entry long,2009-12-01 13:15,ENTRY-11L,9224.25,1,9224.25,3630.17,1.12,7529.83,2.33,-308.42,-0.10,991791.56,19.84
59,Exit long,2009-12-03 15:15,EXIT - Basso Stop,9304.75,5,46121.25,12466.21,0.77,37649.13,2.33,-1542.12,-0.10,1005064.9,20.10
59,Entry long,2009-12-01 13:15,ENTRY-11L,9224.25,5,46121.25,12466.21,0.77,37649.13,2.33,-1542.12,-0.10,1005064.9,20.10
60,Exit long,2009-12-04 09:15,EXIT - Basso Stop,9266.75,5,46121.25,5819.54,0.36,37649.13,2.33,-1542.12,-0.10,1011691.56,20.23
60,Entry long,2009-12-01 13:15,ENTRY-11L,9224.25,5,46121.25,5819.54,0.36,37649.13,2.33,-1542.12,-0.10,1011691.56,20.23
61,Exit long,2009-12-04 09:15,EXIT - Basso Stop,9266.75,5,46662.5,-13133.68,-0.80,18695.91,1.14,-18754.09,-1.15,999374.5,19.99
61,Entry long,2009-12-02 09:15,PYR1-5L,9332.5,5,46662.5,-13133.68,-0.80,18695.91,1.14,-18754.09,-1.15,999374.5,19.99
62,Exit long,2009-12-04 09:15,EXIT - Basso Stop,9266.75,1,9385.25,-4473.91,-1.36,1892.01,0.58,-5597.99,-1.70,995064.8,19.90
62,Entry long,2009-12-03 09:15,PYR2-5L,9385.25,1,9385.25,-4473.91,-1.36,1892.01,0.58,-5597.99,-1.70,995064.8,19.90
63,Exit long,2009-12-04 09:15,EXIT - Basso Stop,9266.75,4,37541,-17895.64,-1.36,7568.03,0.58,-22391.97,-1.70,977826.1,19.56
63,Entry long,2009-12-03 09:15,PYR2-5L,9385.25,4,37541,-17895.64,-1.36,7568.03,0.58,-22391.97,-1.70,977826.1,19.56
64,Exit long,2009-12-04 09:15,EXIT - Basso Stop,9266.75,1,9437.25,-6294.82,-1.90,0,0.00,-7418.9,-2.24,971696.44,19.43
64,Entry long,2009-12-03 12:15,PYR3-1L,9437.25,1,9437.25,-6294.82,-1.90,0,0.00,-7418.9,-2.24,971696.44,19.43
65,Exit long,2009-12-30 11:15,EXIT - Basso Stop,8953.75,22,197169.5,-13442.66,-0.19,64117.04,0.93,-57157.96,-0.83,958253.8,19.17
65,Entry long,2009-12-24 09:15,ENTRY-22L,8962.25,22,197169.5,-13442.66,-0.19,64117.04,0.93,-57157.96,-0.83,958253.8,19.17
66,Exit long,2009-12-31 14:15,EXIT - Basso Stop,9032.8,22,199831.5,-45821.18,-0.65,5357.95,0.08,-52122.55,-0.74,912432.6,18.25
66,Entry long,2009-12-31 12:15,ENTRY-22L,9083.25,22,199831.5,-45821.18,-0.65,5357.95,0.08,-52122.55,-0.74,912432.6,18.25
67,Exit long,2010-01-07 12:15,EXIT - Basso Stop,9151.7,21,191373,21732.22,0.32,96610.97,1.44,-16579.03,-0.25,934004.5,18.68
67,Entry long,2010-01-04 13:15,ENTRY-21L,9113,21,191373,21732.22,0.32,96610.97,1.44,-16579.03,-0.25,934004.5,18.68
68,Exit long,2010-01-07 12:15,EXIT - Basso Stop,9151.7,1,9164.25,-759.78,-0.24,2805.88,0.87,-1317.12,-0.41,933405.06,18.67
68,Entry long,2010-01-05 09:15,PYR1-1L,9164.25,1,9164.25,-759.78,-0.24,2805.88,0.87,-1317.12,-0.41,933405.06,18.67
69,Exit long,2010-01-21 09:15,EXIT - Basso Stop,9022.75,15,136653.75,-50697.41,-1.06,42968.56,0.90,-57122.69,-1.19,881586.1,17.63
